scale,anchor_p,seed_q0,recovered_q_for_audit_only,true_margin_q_minus_q0,visible_open_count_after_seed,true_visible_open_ordinal_of_q,threat_witness_bound,threat_n,threat_witness,threat_delta_from_seed,selected_candidate_n,predicted_margin_qhat_minus_q0,predicted_visible_open_ordinal,margin_error_qhat_minus_q,failure_mode
1000000000000000,999999999993097,999999999993101,999999999993109,8,13,2,97,999999999993103,17,2,,,,,no_selection
1000000000000000,999999999993089,999999999993091,999999999993097,6,13,1,97,999999999993103,17,12,999999999993101,10,2,4,selected_too_late
1000000000000000,999999999993067,999999999993073,999999999993089,16,13,1,97,999999999993079,29,6,,,,,no_selection
1000000000000000,999999999992999,999999999993011,999999999993067,56,12,4,97,999999999993019,19,8,999999999993017,6,1,-50,selected_too_early
1000000000000000,999999999992921,999999999992951,999999999992999,48,5,1,97,999999999992957,23,6,,,,,no_selection
1000000000000000,999999999992659,999999999992663,999999999992687,24,7,1,97,999999999992669,13,6,,,,,no_selection
1000000000000000,999999999992401,999999999992407,999999999992429,22,6,1,97,999999999992411,11,4,,,,,no_selection
1000000000000000,999999999992339,999999999992351,999999999992353,2,8,1,97,999999999992357,7,6,999999999992353,2,1,0,correct
1000000000000000,999999999992281,999999999992327,999999999992339,12,8,2,97,999999999992329,7,2,,,,,no_selection
1000000000000000,999999999992143,999999999992177,999999999992197,20,3,1,97,999999999992183,19,6,,,,,no_selection
1000000000000000,999999999992057,999999999992113,999999999992143,30,2,1,97,999999999992117,17,4,,,,,no_selection
1000000000000000,999999999991973,999999999992023,999999999992041,18,4,2,97,999999999992029,43,6,999999999992027,4,1,-14,selected_too_early
1000000000000000,999999999991871,999999999991873,999999999991961,88,4,2,97,999999999991877,31,4,,,,,no_selection
1000000000000000,999999999991823,999999999991831,999999999991847,16,5,2,97,999999999991837,13,6,,,,,no_selection
1000000000000000,999999999991793,999999999991813,999999999991823,10,7,1,97,999999999991817,11,4,,,,,no_selection
1000000000000000,999999999991697,999999999991703,999999999991721,18,5,1,97,999999999991709,17,6,,,,,no_selection
1000000000000000,999999999991621,999999999991673,999999999991679,6,6,1,97,999999999991681,13,8,999999999991679,6,1,0,correct
1000000000000000,999999999991523,999999999991549,999999999991621,72,2,2,97,999999999991553,11,4,,,,,no_selection
1000000000000000,999999999991451,999999999991459,999999999991483,24,6,2,97,999999999991471,17,12,999999999991469,10,1,-14,selected_too_early
1000000000000000,999999999991411,999999999991429,999999999991441,12,8,1,97,999999999991433,7,4,,,,,no_selection
1000000000000000,999999999991189,999999999991217,999999999991243,26,8,4,97,999999999991223,7,6,999999999991219,2,1,-24,selected_too_early
1000000000000000,999999999991127,999999999991151,999999999991189,38,8,1,97,999999999991153,7,2,,,,,no_selection
1000000000000000,999999999991099,999999999991103,999999999991127,24,7,3,97,999999999991109,13,6,,,,,no_selection
1000000000000000,999999999991067,999999999991079,999999999991099,20,8,2,97,999999999991081,19,2,,,,,no_selection
1000000000000000,999999999991019,999999999991033,999999999991051,18,9,1,97,999999999991039,59,6,,,,,no_selection
1000000000000000,999999999990977,999999999990989,999999999991019,30,8,1,97,999999999990991,29,2,,,,,no_selection
1000000000000000,999999999990913,999999999990917,999999999990977,60,7,4,97,999999999990929,7,12,999999999990923,6,2,-54,selected_too_early
1000000000000000,999999999990883,999999999990899,999999999990913,14,8,2,97,999999999990901,7,2,,,,,no_selection
1000000000000000,999999999990869,999999999990877,999999999990883,6,10,1,97,999999999990887,7,10,999999999990883,6,1,0,correct
1000000000000000,999999999990829,999999999990833,999999999990851,18,11,1,97,999999999990841,23,8,,,,,no_selection
1000000000000000,999999999990799,999999999990821,999999999990829,8,12,1,97,999999999990823,13,2,,,,,no_selection
1000000000000000,999999999990721,999999999990727,999999999990767,40,8,3,97,999999999990731,53,4,,,,,no_selection
1000000000000000,999999999990697,999999999990709,999999999990721,12,8,1,97,999999999990719,7,10,,,,,no_selection
1000000000000000,999999999990671,999999999990679,999999999990697,18,9,1,97,999999999990689,17,10,,,,,no_selection
1000000000000000,999999999990577,999999999990599,999999999990659,60,7,4,97,999999999990601,37,2,,,,,no_selection
1000000000000000,999999999990493,999999999990503,999999999990577,74,6,4,97,999999999990509,7,6,,,,,no_selection
1000000000000000,999999999990461,999999999990463,999999999990493,30,6,1,97,999999999990467,7,4,,,,,no_selection
1000000000000000,999999999990443,999999999990457,999999999990461,4,7,1,97,999999999990467,7,10,999999999990463,6,2,2,selected_too_late
1000000000000000000,999999999999999967,999999999999999983,999999999999999989,6,7,1,97,999999999999999991,23,8,999999999999999989,6,1,0,correct
