p,square,previous_prime,offset,o_q,fixed_cutoff,dynamic_cutoff
3793,14386849,14386837,12,4,60,136
3797,14417209,14417191,18,6,60,136
3803,14462809,14462807,2,2,44,136
3821,14600041,14600017,24,4,60,137
3823,14615329,14615309,20,2,44,137
3833,14691889,14691881,8,2,44,137
3847,14799409,14799403,6,4,60,137
3851,14830201,14830199,2,2,44,137
3853,14845609,14845591,18,6,60,137
3863,14922769,14922767,2,2,44,137
3877,15031129,15031103,26,6,60,137
3881,15062161,15062143,18,4,60,137
3889,15124321,15124309,12,4,60,137
3907,15264649,15264637,12,4,60,137
3911,15295921,15295919,2,2,44,137
3917,15342889,15342883,6,4,60,137
3919,15358561,15358537,24,4,60,137
3923,15389929,15389909,20,2,44,137
3929,15437041,15436943,98,6,60,137
3931,15452761,15452747,14,2,44,138
3943,15547249,15547247,2,2,44,138
3947,15578809,15578807,2,2,44,138
3967,15737089,15737081,8,2,44,138
3989,15912121,15912079,42,4,60,138
4001,16008001,16007993,8,6,60,138
4003,16024009,16024007,2,2,44,138
4007,16056049,16056031,18,6,60,138
4013,16104169,16104167,2,2,44,138
4019,16152361,16152347,14,2,44,138
4021,16168441,16168433,8,6,60,138
4027,16216729,16216723,6,4,60,138
4049,16394401,16394393,8,6,60,138
4051,16410601,16410599,2,2,44,139
4057,16459249,16459207,42,4,60,139
4073,16589329,16589317,12,4,60,139
4079,16638241,16638221,20,2,44,139
4091,16736281,16736273,8,6,60,139
4093,16752649,16752647,2,2,44,139
4099,16801801,16801793,8,6,60,139
4111,16900321,16900309,12,4,60,139
4127,17032129,17032123,6,4,60,139
4129,17048641,17048617,24,4,60,139
4133,17081689,17081671,18,6,60,139
4139,17131321,17131277,44,2,44,139
4153,17247409,17247407,2,2,44,139
4157,17280649,17280611,38,2,44,139
4159,17297281,17297263,18,4,60,139
4177,17447329,17447323,6,4,60,140
4201,17648401,17648387,14,2,44,140
4211,17732521,17732483,38,6,60,140
4217,17783089,17783063,26,6,60,140
4219,17799961,17799959,2,2,44,140
4229,17884441,17884439,2,2,44,140
4231,17901361,17901349,12,4,60,140
4241,17986081,17986079,2,2,44,140
4243,18003049,18003023,26,6,60,140
4253,18088009,18087991,18,6,60,140
4259,18139081,18139073,8,6,60,140
4261,18156121,18156107,14,2,44,140
4271,18241441,18241439,2,2,44,140
4273,18258529,18258517,12,4,60,140
4283,18344089,18344083,6,4,60,140
4289,18395521,18395473,48,4,60,140
4297,18464209,18464203,6,4,60,140
4327,18722929,18722909,20,2,44,141
4337,18809569,18809521,48,6,60,141
4339,18826921,18826901,20,2,44,141
4349,18913801,18913799,2,2,44,141
4357,18983449,18983423,26,6,60,141
4363,19035769,19035763,6,4,60,141
4373,19123129,19123127,2,2,44,141
4391,19280881,19280869,12,4,60,141
4397,19333609,19333597,12,4,60,141
4409,19439281,19439267,14,2,44,141
4421,19545241,19545203,38,6,60,141
4423,19562929,19562927,2,2,44,141
4441,19722481,19722473,8,6,60,142
4447,19775809,19775801,8,2,44,142
4451,19811401,19811399,2,2,44,142
4457,19864849,19864837,12,4,60,142
4463,19918369,19918361,8,2,44,142
4481,20079361,20079343,18,4,60,142
4483,20097289,20097263,26,6,60,142
4493,20187049,20187043,6,4,60,142
4507,20313049,20313047,2,2,44,142
4513,20367169,20367143,26,6,60,142
4517,20403289,20403241,48,6,60,142
4519,20421361,20421347,14,2,44,142
4523,20457529,20457517,12,4,60,142
4547,20675209,20675203,6,4,60,142
4549,20693401,20693389,12,4,60,142
4561,20802721,20802709,12,4,60,142
