current_right_prime,next_prime,gap_width,first_open_offset,exact_next_dmin,exact_next_peak_offset,cutoff,cutoff_utilization,exact_gap_boundary_offset,boundary_utilization,divisor_ladder
89689,89753,64,4,4,4,66,0.06060606060606061,64,0.9696969696969697,8 8 12 4
91373,91381,8,6,8,6,66,0.09090909090909091,8,0.12121212121212122,16 16 10 24 16 8
96703,96731,28,4,3,18,66,0.2727272727272727,28,0.42424242424242425,14 24 4 8 12 4 16 4 32 4 24 12 6 8 8 8 80 3
100799,100801,2,2,126,1,67,0.014925373134328358,2,0.029850746268656716,126
104659,104677,18,4,8,3,67,0.04477611940298507,18,0.26865671641791045,12 12 8
106853,106859,6,6,12,4,68,0.058823529411764705,6,0.08823529411764706,16 16 24 12
110879,110881,2,2,144,1,68,0.014705882352941176,2,0.029411764705882353,144
112573,112577,4,4,14,3,68,0.04411764705882353,4,0.058823529411764705,32 24 14
121789,121843,54,4,3,12,69,0.17391304347826086,54,0.782608695652174,16 4 28 8 16 4 6 16 4 4 96 3
122449,122453,4,4,20,2,69,0.028985507246376812,4,0.057971014492753624,24 20
124309,124337,28,4,4,18,69,0.2608695652173913,28,0.4057971014492754,16 8 16 12 8 12 6 12 8 8 96 8 8 8 6 6 12 4
127679,127681,2,2,112,1,70,0.014285714285714285,2,0.02857142857142857,112
128519,128521,2,2,128,1,70,0.014285714285714285,2,0.02857142857142857,128
134513,134581,68,6,4,2,70,0.02857142857142857,68,0.9714285714285714,32 4
138239,138241,2,2,88,1,71,0.014084507042253521,2,0.028169014084507043,88
139439,139457,18,2,4,14,71,0.19718309859154928,18,0.2535211267605634,80 8 8 8 12 6 24 8 8 16 12 8 12 4
143503,143509,6,4,10,1,71,0.014084507042253521,6,0.08450704225352113,10
143999,144013,14,2,6,10,71,0.14084507042253522,14,0.19718309859154928,96 16 8 8 24 8 8 8 16 6
143999,144013,14,2,6,10,71,0.14084507042253522,14,0.19718309859154928,96 16 8 8 24 8 8 8 16 6
149767,149771,4,4,15,2,72,0.027777777777777776,4,0.05555555555555555,16 15
155921,156007,86,2,4,2,72,0.027777777777777776,86,1.1944444444444444,16 4
157579,157627,48,4,3,30,72,0.4166666666666667,48,0.6666666666666666,12 6 4 4 60 4 32 4 6 4 48 8 8 8 4 8 24 4 8 16 36 4 8 4 18 32 4 8 48 3
160621,160627,6,6,10,3,72,0.041666666666666664,6,0.08333333333333333,24 12 10
164371,164377,6,6,10,4,73,0.0547945205479452,6,0.0821917808219178,24 16 16 10
185621,185641,20,2,4,16,74,0.21621621621621623,20,0.2702702702702703,8 8 8 40 8 8 24 8 16 8 12 8 12 8 12 4
187367,187373,6,2,12,4,74,0.05405405405405406,6,0.08108108108108109,32 16 16 12
188029,188107,78,4,4,4,74,0.05405405405405406,78,1.054054054054054,8 8 32 4
190243,190249,6,4,12,1,74,0.013513513513513514,6,0.08108108108108109,12
192047,192053,6,2,10,4,74,0.05405405405405406,6,0.08108108108108109,20 16 24 10
197963,197969,6,6,10,5,75,0.06666666666666667,6,0.08,60 12 12 16 10
210823,210827,4,4,18,2,76,0.02631578947368421,4,0.05263157894736842,24 18
212507,212557,50,2,3,14,76,0.18421052631578946,50,0.6578947368421053,18 4 16 8 24 6 8 8 6 16 8 4 128 3
212701,212777,76,6,4,2,76,0.02631578947368421,76,1.0,8 4
219371,219377,6,2,10,5,76,0.06578947368421052,6,0.07894736842105263,24 18 16 40 10
222109,222113,4,4,24,2,76,0.02631578947368421,4,0.05263157894736842,32 24
229171,229181,10,6,8,8,77,0.1038961038961039,10,0.12987012987012986,24 12 12 12 32 12 16 8
240733,240739,6,4,8,5,77,0.06493506493506493,6,0.07792207792207792,16 16 12 12 8
