scale,vector_mode,candidate_domain,anchor_p,seed_q0,true_q_for_audit_only,selected_q,selected_delta_from_true,selected_csr,min_tie_count,candidate_count,vector_length_used,failure_mode
1000000000000000,fixed_128_pre_shadow,all_integer_seed_bound,999999999999071,999999999999079,999999999999089,999999999999087,-2,6,1,128,128,selected_too_early
1000000000000000,fixed_128_pre_shadow,visible_open_seed_bound,999999999999071,999999999999079,999999999999089,999999999999089,0,8,2,9,128,correct
1000000000000000,anchor_prefix_to_seed,all_integer_anchor_bound,999999999999071,999999999999079,999999999999089,999999999999080,-9,0,7,120,8,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_anchor_bound,999999999999071,999999999999079,999999999999089,999999999999089,0,1,6,9,8,correct
1000000000000000,anchor_prefix_to_seed,all_integer_seed_bound,999999999999071,999999999999079,999999999999089,999999999999080,-9,0,8,128,8,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_seed_bound,999999999999071,999999999999079,999999999999089,999999999999089,0,1,6,9,8,correct
1000000000000000,fixed_128_pre_shadow,all_integer_anchor_bound,999999999998939,999999999998953,999999999999043,999999999998963,-80,5,8,114,128,selected_too_early
1000000000000000,fixed_128_pre_shadow,visible_open_anchor_bound,999999999998939,999999999998953,999999999999043,999999999999001,-42,6,1,2,128,selected_too_early
1000000000000000,fixed_128_pre_shadow,all_integer_seed_bound,999999999998939,999999999998953,999999999999043,999999999998963,-80,5,8,128,128,selected_too_early
1000000000000000,fixed_128_pre_shadow,visible_open_seed_bound,999999999998939,999999999998953,999999999999043,999999999999001,-42,6,2,4,128,selected_too_early
1000000000000000,anchor_prefix_to_seed,all_integer_anchor_bound,999999999998939,999999999998953,999999999999043,999999999998954,-89,0,3,114,14,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_anchor_bound,999999999998939,999999999998953,999999999999043,999999999999001,-42,1,2,2,14,selected_too_early
1000000000000000,anchor_prefix_to_seed,all_integer_seed_bound,999999999998939,999999999998953,999999999999043,999999999998954,-89,0,4,128,14,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_seed_bound,999999999998939,999999999998953,999999999999043,999999999999001,-42,1,3,4,14,selected_too_early
1000000000000000,fixed_128_pre_shadow,all_integer_anchor_bound,999999999998803,999999999998807,999999999998861,999999999998925,64,10,1,124,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_anchor_bound,999999999998803,999999999998807,999999999998861,999999999998861,0,14,2,2,128,correct
1000000000000000,fixed_128_pre_shadow,all_integer_seed_bound,999999999998803,999999999998807,999999999998861,999999999998925,64,10,1,128,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_seed_bound,999999999998803,999999999998807,999999999998861,999999999998861,0,14,2,2,128,correct
1000000000000000,anchor_prefix_to_seed,all_integer_anchor_bound,999999999998803,999999999998807,999999999998861,999999999998808,-53,0,3,124,4,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_anchor_bound,999999999998803,999999999998807,999999999998861,999999999998861,0,1,2,2,4,correct
1000000000000000,anchor_prefix_to_seed,all_integer_seed_bound,999999999998803,999999999998807,999999999998861,999999999998808,-53,0,3,128,4,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_seed_bound,999999999998803,999999999998807,999999999998861,999999999998861,0,1,2,2,4,correct
1000000000000000,fixed_128_pre_shadow,all_integer_anchor_bound,999999999998761,999999999998771,999999999998803,999999999998889,86,9,1,118,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_anchor_bound,999999999998761,999999999998771,999999999998803,999999999998861,58,12,1,4,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,all_integer_seed_bound,999999999998761,999999999998771,999999999998803,999999999998889,86,9,1,128,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_seed_bound,999999999998761,999999999998771,999999999998803,999999999998861,58,12,1,4,128,selected_too_late
1000000000000000,anchor_prefix_to_seed,all_integer_anchor_bound,999999999998761,999999999998771,999999999998803,999999999998772,-31,0,3,118,10,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_anchor_bound,999999999998761,999999999998771,999999999998803,999999999998803,0,1,2,4,10,correct
1000000000000000,anchor_prefix_to_seed,all_integer_seed_bound,999999999998761,999999999998771,999999999998803,999999999998772,-31,0,3,128,10,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_seed_bound,999999999998761,999999999998771,999999999998803,999999999998803,0,1,2,4,10,correct
1000000000000000,fixed_128_pre_shadow,all_integer_anchor_bound,999999999998743,999999999998749,999999999998761,999999999998755,-6,12,4,122,128,selected_too_early
1000000000000000,fixed_128_pre_shadow,visible_open_anchor_bound,999999999998743,999999999998749,999999999998761,999999999998761,0,15,1,6,128,correct
1000000000000000,fixed_128_pre_shadow,all_integer_seed_bound,999999999998743,999999999998749,999999999998761,999999999998755,-6,12,4,128,128,selected_too_early
1000000000000000,fixed_128_pre_shadow,visible_open_seed_bound,999999999998743,999999999998749,999999999998761,999999999998761,0,15,1,6,128,correct
1000000000000000,anchor_prefix_to_seed,all_integer_anchor_bound,999999999998743,999999999998749,999999999998761,999999999998750,-11,0,5,122,6,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_anchor_bound,999999999998743,999999999998749,999999999998761,999999999998761,0,1,4,6,6,correct
1000000000000000,anchor_prefix_to_seed,all_integer_seed_bound,999999999998743,999999999998749,999999999998761,999999999998750,-11,0,5,128,6,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_seed_bound,999999999998743,999999999998749,999999999998761,999999999998761,0,1,4,6,6,correct
1000000000000000,fixed_128_pre_shadow,all_integer_anchor_bound,999999999998711,999999999998723,999999999998729,999999999998825,96,11,1,116,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_anchor_bound,999999999998711,999999999998723,999999999998729,999999999998729,0,14,2,8,128,correct
1000000000000000,fixed_128_pre_shadow,all_integer_seed_bound,999999999998711,999999999998723,999999999998729,999999999998843,114,10,1,128,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_seed_bound,999999999998711,999999999998723,999999999998729,999999999998729,0,14,2,8,128,correct
1000000000000000,anchor_prefix_to_seed,all_integer_anchor_bound,999999999998711,999999999998723,999999999998729,999999999998724,-5,0,4,116,12,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_anchor_bound,999999999998711,999999999998723,999999999998729,999999999998743,14,1,2,8,12,selected_too_late
1000000000000000,anchor_prefix_to_seed,all_integer_seed_bound,999999999998711,999999999998723,999999999998729,999999999998724,-5,0,4,128,12,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_seed_bound,999999999998711,999999999998723,999999999998729,999999999998743,14,1,2,8,12,selected_too_late
1000000000000000,fixed_128_pre_shadow,all_integer_anchor_bound,999999999998627,999999999998641,999999999998711,999999999998683,-28,11,2,114,128,selected_too_early
1000000000000000,fixed_128_pre_shadow,visible_open_anchor_bound,999999999998627,999999999998641,999999999998711,999999999998683,-28,11,2,8,128,selected_too_early
1000000000000000,fixed_128_pre_shadow,all_integer_seed_bound,999999999998627,999999999998641,999999999998711,999999999998683,-28,11,3,128,128,selected_too_early
1000000000000000,fixed_128_pre_shadow,visible_open_seed_bound,999999999998627,999999999998641,999999999998711,999999999998683,-28,11,3,9,128,selected_too_early
