anchor_p,offset,candidate_q,carrier,carrier_offset,carrier_d,post_carrier_lower_d_count,post_carrier_ge_d_count,interior_prime_offsets,structural_status,structural_reasons,exact_status,exact_reasons
41,32,73,49,8,3,0,18,2 6 12 18 20 26 30,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
41,36,77,49,8,3,0,21,2 6 12 18 20 26 30 32,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
41,38,79,49,8,3,0,23,2 6 12 18 20 26 30 32,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
41,42,83,49,8,3,0,26,2 6 12 18 20 26 30 32 38,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
41,48,89,49,8,3,0,31,2 6 12 18 20 26 30 32 38 42,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
41,50,91,49,8,3,0,32,2 6 12 18 20 26 30 32 38 42 48,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
41,56,97,49,8,3,0,38,2 6 12 18 20 26 30 32 38 42 48,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
41,60,101,49,8,3,0,41,2 6 12 18 20 26 30 32 38 42 48 56,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
41,62,103,49,8,3,0,42,2 6 12 18 20 26 30 32 38 42 48 56 60,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
43,4,47,46,3,4,0,0,,SURVIVES,,SURVIVES,
43,6,49,46,3,4,0,1,4,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
43,10,53,49,6,3,0,3,4,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
43,16,59,49,6,3,0,8,4 10,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
43,18,61,49,6,3,0,9,4 10 16,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
43,24,67,49,6,3,0,14,4 10 16 18,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
43,28,71,49,6,3,0,17,4 10 16 18 24,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
43,30,73,49,6,3,0,18,4 10 16 18 24 28,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
43,34,77,49,6,3,0,21,4 10 16 18 24 28 30,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
43,36,79,49,6,3,0,23,4 10 16 18 24 28 30,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
43,40,83,49,6,3,0,26,4 10 16 18 24 28 30 36,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
43,46,89,49,6,3,0,31,4 10 16 18 24 28 30 36 40,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
43,48,91,49,6,3,0,32,4 10 16 18 24 28 30 36 40 46,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
43,54,97,49,6,3,0,38,4 10 16 18 24 28 30 36 40 46,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
43,58,101,49,6,3,0,41,4 10 16 18 24 28 30 36 40 46 54,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
43,60,103,49,6,3,0,42,4 10 16 18 24 28 30 36 40 46 54 58,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
43,64,107,49,6,3,0,45,4 10 16 18 24 28 30 36 40 46 54 58 60,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
47,2,49,48,1,10,0,0,,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE
47,6,53,49,2,3,0,3,,SURVIVES,,SURVIVES,
47,12,59,49,2,3,0,8,6,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
47,14,61,49,2,3,0,9,6 12,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
47,20,67,49,2,3,0,14,6 12 14,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
47,24,71,49,2,3,0,17,6 12 14 20,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
47,26,73,49,2,3,0,18,6 12 14 20 24,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
47,30,77,49,2,3,0,21,6 12 14 20 24 26,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
47,32,79,49,2,3,0,23,6 12 14 20 24 26,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
47,36,83,49,2,3,0,26,6 12 14 20 24 26 32,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
47,42,89,49,2,3,0,31,6 12 14 20 24 26 32 36,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
47,44,91,49,2,3,0,32,6 12 14 20 24 26 32 36 42,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
47,50,97,49,2,3,0,38,6 12 14 20 24 26 32 36 42,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
47,54,101,49,2,3,0,41,6 12 14 20 24 26 32 36 42 50,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
47,56,103,49,2,3,0,42,6 12 14 20 24 26 32 36 42 50 54,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
47,60,107,49,2,3,0,45,6 12 14 20 24 26 32 36 42 50 54 56,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
47,62,109,49,2,3,0,46,6 12 14 20 24 26 32 36 42 50 54 56 60,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
53,6,59,55,2,4,0,3,,SURVIVES,,SURVIVES,
53,8,61,55,2,4,0,4,6,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
53,14,67,55,2,4,0,9,6 8,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
53,18,71,55,2,4,0,12,6 8 14,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
53,20,73,55,2,4,0,13,6 8 14 18,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
